"method","beta","lb","ub","tau","name","dithering"
"nid",-0.0705678127615591,-0.58274631434814,0.441610688825022,0.1,"arsenic.t1.res","Yes"
"riid",-0.0705678127615591,-1.31737843885588,0.365227230718787,0.1,"arsenic.t1.res","Yes"
"rnid",-0.0705678127615591,-1.31754298510012,0.366552634352267,0.1,"arsenic.t1.res","Yes"
"xy",-0.0705678127615591,-0.890553203622642,0.749417578099524,0.1,"arsenic.t1.res","Yes"
"wild",-0.0705678127615591,-0.807912599127119,0.666776973604001,0.1,"arsenic.t1.res","Yes"
"pbs",-0.0705678127615591,-1.19670907524772,0.592456846148901,0.1,"arsenic.t1.res","Yes"
"nid",-0.189319441595984,-0.670639816139002,0.292000932947034,0.3,"arsenic.t1.res","Yes"
"riid",-0.189319441595984,-0.727247944162214,0.526394032523706,0.3,"arsenic.t1.res","Yes"
"rnid",-0.189319441595984,-0.72798714978402,0.527642266081403,0.3,"arsenic.t1.res","Yes"
"xy",-0.189319441595984,-0.778772833864866,0.400133950672897,0.3,"arsenic.t1.res","Yes"
"wild",-0.189319441595984,-0.784848200364142,0.406209317172174,0.3,"arsenic.t1.res","Yes"
"pbs",-0.189319441595984,-0.742022845503091,0.394291758410918,0.3,"arsenic.t1.res","Yes"
"nid",-0.242770812568604,-0.788678490147307,0.3031368650101,0.5,"arsenic.t1.res","Yes"
"riid",-0.242770812568604,-0.726382137382203,0.203691736612767,0.5,"arsenic.t1.res","Yes"
"rnid",-0.242770812568604,-0.726944951517449,0.20449641366812,0.5,"arsenic.t1.res","Yes"
"xy",-0.242770812568604,-0.775948375857931,0.290406750720723,0.5,"arsenic.t1.res","Yes"
"wild",-0.242770812568604,-0.759795746856424,0.274254121719217,0.5,"arsenic.t1.res","Yes"
"pbs",-0.242770812568604,-0.77784214435813,0.290353149047576,0.5,"arsenic.t1.res","Yes"
"nid",-0.207883310436024,-0.88500606092316,0.469239440051113,0.7,"arsenic.t1.res","Yes"
"riid",-0.207883310436024,-0.989218680325389,0.123930744795543,0.7,"arsenic.t1.res","Yes"
"rnid",-0.207883310436024,-0.991521141816928,0.124301943885433,0.7,"arsenic.t1.res","Yes"
"xy",-0.207883310436024,-0.890365251524067,0.47459863065202,0.7,"arsenic.t1.res","Yes"
"wild",-0.207883310436024,-0.776676884985317,0.36091026411327,0.7,"arsenic.t1.res","Yes"
"pbs",-0.207883310436024,-0.929905294548086,0.374025228641323,0.7,"arsenic.t1.res","Yes"
"nid",0.749935275282266,-0.20240402901589,1.70227457958042,0.9,"arsenic.t1.res","Yes"
"riid",0.749935275282266,-0.802444547770955,1.51505003712119,0.9,"arsenic.t1.res","Yes"
"rnid",0.749935275282266,-0.878896678336609,1.53531449311488,0.9,"arsenic.t1.res","Yes"
"xy",0.749935275282266,-0.587920939581023,2.08779149014555,0.9,"arsenic.t1.res","Yes"
"wild",0.749935275282266,-0.197556116379818,1.69742666694435,0.9,"arsenic.t1.res","Yes"
"pbs",0.749935275282266,-0.872348741758147,1.82702725900666,0.9,"arsenic.t1.res","Yes"
"nid",0.515787382230243,-0.0254297452690622,1.05700450972955,0.1,"lead.t1.res","Yes"
"riid",0.515787382230243,-0.4628642870987,1.43360580969427,0.1,"lead.t1.res","Yes"
"rnid",0.515787382230243,-0.865172258810065,1.5951694425572,0.1,"lead.t1.res","Yes"
"xy",0.515787382230243,-0.495579764709968,1.52715452917045,0.1,"lead.t1.res","Yes"
"wild",0.515787382230243,-0.280281675959928,1.31185644042041,0.1,"lead.t1.res","Yes"
"pbs",0.515787382230243,-0.520426426461439,1.63306599057778,0.1,"lead.t1.res","Yes"
"nid",-0.0222277424655779,-0.674289175161619,0.629833690230464,0.3,"lead.t1.res","Yes"
